GEO_ID,NAME,B19013_001E,B19013_001M
1400000US18141011704,Census Tract 117.04; St. Joseph County; Indiana,74786,11045
1400000US18141011801,Census Tract 118.01; St. Joseph County; Indiana,97500,21981
1400000US18141011803,Census Tract 118.03; St. Joseph County; Indiana,75461,12758
1400000US18141011804,Census Tract 118.04; St. Joseph County; Indiana,80588,14196
1400000US18141011900,Census Tract 119; St. Joseph County; Indiana,71667,13824
1400000US18141012000,Census Tract 120; St. Joseph County; Indiana,80357,18864
1400000US18141012100,Census Tract 121; St. Joseph County; Indiana,76521,6544
1400000US18141012200,Census Tract 122; St. Joseph County; Indiana,66516,5350
1400000US18141012300,Census Tract 123; St. Joseph County; Indiana,76636,13607
1400000US18141012400,Census Tract 124; St. Joseph County; Indiana,100804,18946
